Medal,Number_of_Medals,region,Year,Sport
Silver,1,North Korea,2004,Boxing
Bronze,1,Austria,1998,Snowboarding
Gold,2,Germany,2004,Shooting
Bronze,2,Czech Republic,1980,Wrestling
Gold,2,Bulgaria,1968,Wrestling
Bronze,1,Germany,2002,Luge
Silver,1,Cuba,2016,Wrestling
Silver,1,Australia,1956,Rowing
Gold,2,Sweden,1920,Swimming
Bronze,6,Japan,1972,Gymnastics
Silver,1,Slovenia,2016,Canoeing
Bronze,2,Iran,1992,Wrestling
Silver,1,Hungary,1904,Swimming
Bronze,6,Russia,1992,Fencing
Gold,2,Netherlands,2012,Swimming
Bronze,2,Kazakhstan,2016,Wrestling
Bronze,1,Sweden,2000,Sailing
Bronze,1,New Zealand,1960,Athletics
Silver,2,France,2004,Swimming
Bronze,1,Greece,2004,Athletics
Silver,1,Kazakhstan,2016,Wrestling
Silver,4,Russia,1912,Shooting
Silver,2,Germany,2004,Tennis
Silver,1,Latvia,1992,Canoeing
Silver,1,Latvia,1996,Canoeing
Silver,1,Germany,1960,Alpine Skiing
Gold,1,China,1996,Swimming
Silver,2,China,2000,Gymnastics
Bronze,1,Finland,1908,Wrestling
Silver,1,Kazakhstan,1996,Weightlifting
Bronze,2,South Korea,2000,Table Tennis
Bronze,2,Hungary,2008,Canoeing
Gold,9,Sweden,1920,Equestrianism
Bronze,2,Belarus,2012,Weightlifting
Silver,6,Russia,1996,Athletics
Gold,1,USA,1936,Wrestling
Silver,2,France,2012,Tennis
Bronze,1,Kazakhstan,2004,Athletics
Bronze,1,North Korea,1972,Judo
Gold,3,Russia,2000,Athletics
Gold,2,Japan,1992,Judo
Silver,1,Poland,2010,Cross Country Skiing
Gold,1,Norway,1994,Nordic Combined
Silver,1,Finland,1956,Ski Jumping
Bronze,1,Greece,2016,Shooting
Bronze,1,Poland,1992,Shooting
Silver,1,Finland,1998,Freestyle Skiing
Bronze,2,Belarus,2000,Weightlifting
Gold,1,Finland,2008,Shooting
Bronze,1,Ukraine,2012,Weightlifting
Silver,3,Greece,2000,Athletics
Silver,4,Russia,1988,Wrestling
Gold,3,Russia,1996,Shooting
Bronze,1,South Korea,2004,Table Tennis
Silver,1,Denmark,2000,Athletics
Bronze,2,South Korea,2004,Badminton
Bronze,2,Portugal,1984,Athletics
Bronze,1,USA,1972,Diving
Gold,1,Canada,2012,Trampolining
Gold,10,Japan,1972,Gymnastics
Bronze,1,Germany,1988,Alpine Skiing
Silver,1,Latvia,2008,Athletics
Bronze,1,France,1996,Equestrianism
Gold,1,South Korea,2004,Judo
Silver,2,Germany,1980,Rowing
Gold,1,Italy,1988,Wrestling
Silver,2,South Korea,2000,Wrestling
Bronze,2,New Zealand,1988,Swimming
Gold,4,Austria,2010,Ski Jumping
Silver,1,Russia,1992,Freestyle Skiing
Gold,1,Switzerland,2006,Freestyle Skiing
Bronze,2,USA,2012,Gymnastics
Bronze,1,France,2000,Cycling
Bronze,1,Denmark,1900,Swimming
Silver,2,South Africa,2016,Athletics
Bronze,1,Bulgaria,1988,Athletics
Silver,1,South Korea,2014,Figure Skating
Gold,2,Japan,2008,Swimming
Silver,2,Argentina,1928,Boxing
Silver,2,Denmark,1936,Rowing
Silver,3,Norway,1924,Speed Skating
Gold,1,USA,1992,Diving
Bronze,2,Germany,1976,Weightlifting
Bronze,1,Ukraine,1996,Boxing
Bronze,1,Poland,1960,Rowing
Bronze,1,Canada,2006,Short Track Speed Skating
Gold,1,Poland,1988,Judo
Bronze,1,Romania,1956,Shooting
Silver,1,Netherlands,1932,Sailing
Bronze,1,Norway,1992,Speed Skating
Silver,1,Georgia,2004,Judo
Gold,2,Indonesia,2008,Badminton
Silver,1,Spain,2000,Boxing
Gold,1,Russia,1960,Cycling
Gold,3,Germany,1968,Equestrianism
Gold,2,Ukraine,2000,Swimming
Gold,2,Finland,1964,Shooting
Bronze,4,Finland,1952,Rowing
Silver,2,Hungary,1948,Figure Skating
Gold,1,New Zealand,1992,Sailing
Silver,1,Germany,2016,Tennis
Bronze,1,South Korea,2000,Archery
Silver,1,Russia,1968,Shooting
Bronze,5,Netherlands,1936,Canoeing
Bronze,1,Switzerland,1968,Cycling
Bronze,1,Norway,1992,Cross Country Skiing
Silver,3,Netherlands,1936,Cycling
Bronze,1,Finland,1980,Athletics
Bronze,2,France,2016,Canoeing
Silver,1,Poland,1936,Art Competitions
Gold,1,Finland,1988,Athletics
Gold,11,Russia,1992,Swimming
Silver,4,Germany,2000,Cycling
Gold,2,Poland,1932,Athletics
Gold,1,Canada,2008,Equestrianism
Silver,2,China,2016,Table Tennis
Bronze,2,China,1992,Judo
Silver,1,New Zealand,2016,Golf
Silver,6,Hungary,2000,Canoeing
Silver,1,Germany,2006,Snowboarding
Silver,1,Germany,1912,Tennis
Bronze,3,Russia,2004,Canoeing
Gold,5,Russia,2006,Figure Skating
Gold,4,Netherlands,1992,Equestrianism
Bronze,1,South Korea,2000,Fencing
Bronze,1,Uzbekistan,2008,Trampolining
Bronze,4,Belarus,2012,Canoeing
Gold,6,Russia,1992,Cross Country Skiing
Bronze,6,Jamaica,2008,Athletics
Gold,4,Mexico,1948,Equestrianism
Silver,3,South Africa,1920,Cycling
Silver,1,Sweden,1972,Wrestling
Gold,2,USA,1996,Beach Volleyball
Bronze,1,South Korea,1988,Weightlifting
Bronze,1,Romania,1952,Shooting
Silver,2,China,2012,Weightlifting
Bronze,1,Greece,1980,Wrestling
Silver,2,Russia,1956,Wrestling
Bronze,1,Denmark,1952,Fencing
Silver,2,Austria,1960,Alpine Skiing
Gold,2,Austria,2010,Luge
Gold,1,USA,1998,Figure Skating
Silver,3,Russia,1952,Weightlifting
Silver,1,Italy,1992,Wrestling
Bronze,1,Lithuania,2012,Wrestling
Gold,2,USA,1900,Polo
Bronze,1,USA,1904,Diving
Bronze,2,USA,2002,Snowboarding
Gold,5,Austria,2006,Ski Jumping
Gold,1,Poland,1968,Boxing
Silver,3,China,1992,Archery
Gold,1,Kenya,2004,Athletics
Bronze,1,Iran,1996,Wrestling
Bronze,1,Ukraine,2016,Fencing
Bronze,4,Germany,1972,Biathlon
Silver,2,Germany,1968,Luge
Bronze,1,Switzerland,1928,Equestrianism
Bronze,5,Canada,2002,Curling
Bronze,3,Netherlands,1928,Equestrianism
Gold,2,Netherlands,1928,Cycling
Gold,1,Serbia,2012,Taekwondo
Gold,4,Ukraine,2008,Fencing
Gold,1,Russia,1968,Equestrianism
Bronze,1,Germany,2014,Snowboarding
Silver,1,USA,1976,Cross Country Skiing
Silver,1,Denmark,1948,Fencing
Silver,1,France,1972,Fencing
Silver,1,South Korea,1996,Athletics
Bronze,1,Denmark,1936,Equestrianism
Bronze,1,China,1992,Table Tennis
Bronze,3,USA,2008,Cycling
Gold,8,Japan,1932,Swimming
Silver,1,Slovenia,2014,Snowboarding
Bronze,1,Bulgaria,1980,Cross Country Skiing
Bronze,1,USA,2008,Equestrianism
Gold,2,Russia,1988,Bobsleigh
Silver,1,Norway,2002,Alpine Skiing
Silver,1,Bulgaria,1988,Athletics
Gold,1,Cuba,1996,Weightlifting
Bronze,1,South Korea,2004,Shooting
Bronze,3,Finland,1952,Modern Pentathlon
Bronze,1,New Zealand,1984,Sailing
Gold,1,UK,1904,Athletics
Bronze,1,North Korea,2000,Boxing
Bronze,5,Denmark,1948,Rowing
Gold,6,Sweden,1984,Cross Country Skiing
Gold,1,Bulgaria,1996,Athletics
Bronze,2,Russia,2008,Canoeing
Silver,3,South Korea,2004,Badminton
Silver,2,Belgium,1972,Athletics
Gold,3,Hungary,1936,Wrestling
Gold,4,Russia,1976,Athletics
Bronze,2,Bulgaria,1972,Athletics
Silver,4,Poland,1996,Fencing
Bronze,2,Trinidad,1952,Weightlifting
Bronze,1,Russia,1994,Speed Skating
Gold,14,Finland,1920,Athletics
Silver,2,Russia,2008,Canoeing
Gold,2,South Korea,2010,Short Track Speed Skating
Bronze,1,South Korea,1992,Short Track Speed Skating
Gold,1,New Zealand,1900,Water Polo
Silver,2,Italy,2016,Beach Volleyball
Silver,1,France,1984,Athletics
Bronze,1,Bulgaria,1960,Gymnastics
Bronze,1,Poland,1980,Athletics
Bronze,2,UK,2004,Rowing
Gold,1,France,1932,Sailing
Gold,1,Ukraine,2008,Boxing
Silver,1,Czech Republic,2000,Shooting
Silver,2,Germany,1992,Luge
Bronze,4,USA,1932,Equestrianism
Bronze,1,Belgium,1912,Fencing
Gold,2,USA,2006,Alpine Skiing
Silver,1,Portugal,1976,Athletics
Gold,2,USA,1988,Diving
Bronze,2,Germany,1936,Diving
Bronze,8,Netherlands,2006,Speed Skating
Bronze,2,Germany,1904,Weightlifting
Gold,3,Russia,1968,Weightlifting
Silver,1,Finland,1968,Gymnastics
Gold,5,Norway,1992,Cross Country Skiing
Bronze,1,South Korea,2000,Gymnastics
Gold,1,Hungary,2004,Wrestling
Silver,3,Russia,1964,Weightlifting
Gold,1,USA,2010,Freestyle Skiing
Bronze,3,Finland,1928,Wrestling
Gold,2,UK,1968,Sailing
Bronze,2,Russia,1988,Rowing
Gold,4,Russia,1980,Figure Skating
Bronze,2,Australia,1984,Canoeing
Bronze,1,France,1948,Wrestling
Bronze,5,Russia,2012,Wrestling
Bronze,3,USA,1960,Figure Skating
Gold,3,Russia,1972,Equestrianism
Bronze,5,Kenya,2008,Athletics
Bronze,2,Germany,2000,Athletics
Gold,5,Finland,1928,Athletics
Bronze,1,USA,1936,Boxing
Gold,1,Greece,1896,Swimming
Silver,2,Turkey,2016,Wrestling
Bronze,2,Netherlands,1988,Speed Skating
Bronze,2,Netherlands,1972,Speed Skating
Bronze,1,Ukraine,2012,Fencing
Silver,1,Denmark,1924,Equestrianism
Bronze,4,Finland,2006,Nordic Combined
Bronze,1,Norway,2012,Cycling
Bronze,1,Norway,1984,Biathlon
Silver,6,Germany,1984,Bobsleigh
Gold,1,China,2008,Swimming
Bronze,1,USA,2004,Gymnastics
Silver,2,Spain,2008,Cycling
Bronze,1,Brazil,2016,Gymnastics
Bronze,1,North Korea,1992,Wrestling
Bronze,1,Hungary,1912,Athletics
Bronze,1,Russia,1960,Diving
Gold,3,USA,1920,Diving
Gold,1,Netherlands,1972,Cycling
Gold,1,Germany,1980,Judo
Bronze,1,Russia,1976,Shooting
Silver,5,Austria,1936,Canoeing
Bronze,2,Finland,1956,Wrestling
Gold,5,Argentina,1924,Polo
Bronze,1,Greece,1988,Wrestling
Silver,2,South Korea,1988,Wrestling
Bronze,1,Norway,1976,Speed Skating
Silver,9,China,1992,Swimming
Bronze,1,Azerbaijan,2000,Boxing
Bronze,2,Finland,1952,Cross Country Skiing
Bronze,2,Japan,1932,Swimming
Bronze,5,Finland,1980,Cross Country Skiing
Silver,1,Russia,1964,Nordic Combined
Gold,1,Poland,1996,Sailing
Silver,1,Sweden,1908,Diving
Silver,2,Ukraine,2000,Swimming
Silver,3,Russia,1976,Figure Skating
Gold,2,Hungary,1968,Wrestling
Bronze,1,Japan,1988,Speed Skating
Silver,4,Russia,2000,Athletics
Bronze,1,Australia,1968,Athletics
Silver,1,South Korea,1996,Boxing
Gold,1,Sweden,2000,Wrestling
Gold,2,Romania,1968,Athletics
Bronze,1,Hungary,1904,Swimming
Silver,2,Norway,1992,Speed Skating
Silver,2,Sweden,1936,Sailing
Gold,2,South Korea,1992,Shooting
Silver,1,USA,1932,Fencing
Gold,2,Russia,1980,Diving
Bronze,1,Russia,1996,Athletics
Bronze,1,South Korea,2016,Wrestling
Bronze,1,Estonia,1924,Athletics
Gold,1,Slovenia,2008,Athletics
Gold,3,USA,1904,Tennis
Bronze,3,North Korea,1992,Table Tennis
Bronze,3,Hungary,1976,Modern Pentathlon
Silver,3,Russia,1984,Speed Skating
Bronze,3,Russia,2012,Canoeing
Gold,1,Poland,1996,Athletics
Bronze,1,Poland,2010,Cross Country Skiing
Silver,2,South Korea,2000,Badminton
Silver,1,China,2006,Freestyle Skiing
Silver,3,Germany,1972,Equestrianism
Silver,1,Russia,2016,Rhythmic Gymnastics
Silver,1,USA,1998,Figure Skating
Gold,1,Sweden,1912,Modern Pentathlon
Bronze,1,Armenia,2012,Weightlifting
Gold,2,USA,1936,Swimming
Silver,2,Russia,1968,Athletics
Silver,1,Slovakia,2010,Biathlon
Bronze,2,Lithuania,2016,Canoeing
Silver,1,Finland,1932,Cross Country Skiing
Gold,1,Italy,1972,Equestrianism
Silver,3,Cuba,2000,Wrestling
Gold,1,Ukraine,1996,Boxing
Silver,1,India,2012,Shooting
Gold,2,UK,1920,Cycling
Bronze,5,Australia,1992,Swimming
Bronze,4,Russia,2010,Cross Country Skiing
Gold,1,France,2004,Gymnastics
Gold,2,Ukraine,2012,Boxing
Gold,1,Italy,1948,Wrestling
Bronze,7,Japan,2004,Swimming
Bronze,1,Finland,1976,Cross Country Skiing
Bronze,4,Germany,1972,Sailing
Bronze,2,Poland,1972,Wrestling
Silver,1,Switzerland,2006,Figure Skating
Bronze,1,Denmark,1924,Shooting
Silver,1,Russia,1996,Diving
Silver,8,Greece,1906,Tug-Of-War
Gold,2,Russia,1980,Sailing
Bronze,1,Italy,1976,Judo
Gold,9,Russia,1996,Gymnastics
Bronze,5,Italy,1988,Biathlon
Gold,2,Germany,1996,Shooting
Bronze,2,Ukraine,2008,Diving
Silver,1,Australia,2008,Canoeing
Silver,2,South Korea,2010,Speed Skating
Bronze,1,China,2012,Taekwondo
Bronze,4,Italy,1980,Athletics
Gold,1,Germany,1968,Nordic Combined
Silver,2,Russia,2004,Canoeing
Bronze,1,Czech Republic,1960,Wrestling
Gold,3,Germany,2002,Luge
Bronze,2,Hungary,1980,Boxing
Gold,3,UK,1952,Equestrianism
Silver,2,Australia,2004,Cycling
Gold,1,Algeria,2012,Athletics
Bronze,3,Australia,2004,Cycling
Gold,2,South Korea,1988,Boxing
Silver,1,Lithuania,2008,Modern Pentathlon
Gold,10,Russia,1972,Cross Country Skiing
Silver,1,South Africa,2012,Swimming
Silver,1,USA,1924,Figure Skating
Gold,2,Argentina,1932,Boxing
Bronze,1,New Zealand,1988,Canoeing
Gold,4,Russia,2014,Biathlon
Bronze,1,Ukraine,2008,Cycling
Silver,4,Ukraine,2016,Fencing
Silver,1,Hungary,1988,Wrestling
Gold,6,Russia,1972,Cycling
Silver,1,Poland,1932,Art Competitions
Silver,12,Russia,1968,Fencing
Gold,4,Russia,1988,Shooting
Bronze,2,UK,1900,Athletics
Bronze,1,France,1896,Athletics
Silver,1,Sweden,1928,Wrestling
Bronze,1,Austria,1996,Athletics
Bronze,1,Argentina,1960,Boxing
Bronze,1,Russia,1988,Nordic Combined
Gold,4,Sweden,2010,Curling
Silver,2,Serbia,1988,Table Tennis
Silver,1,Germany,1976,Diving
Gold,2,China,2004,Athletics
Gold,1,Denmark,1900,Shooting
Bronze,1,Austria,2014,Snowboarding
Bronze,1,Taiwan,2016,Weightlifting
Bronze,1,Greece,2000,Weightlifting
Bronze,1,North Korea,1992,Weightlifting
Bronze,5,Finland,1988,Cross Country Skiing
Gold,1,Canada,1976,Alpine Skiing
Silver,1,USA,1996,Shooting
Silver,1,USA,1976,Diving
Silver,3,France,1928,Rowing
Silver,6,Sweden,1972,Sailing
Bronze,1,Austria,2010,Snowboarding
Silver,1,China,2010,Freestyle Skiing
Silver,1,China,1992,Short Track Speed Skating
Silver,1,Sweden,1932,Modern Pentathlon
Gold,2,China,2016,Athletics
Silver,2,UK,1924,Shooting
Silver,2,Hungary,1932,Wrestling
Gold,1,Belarus,1996,Rowing
Silver,1,Hungary,2004,Athletics
Silver,1,Austria,1904,Gymnastics
Gold,1,Brazil,2008,Athletics
Bronze,16,Japan,1968,Football
Silver,1,Japan,1956,Wrestling
Bronze,4,Finland,1956,Modern Pentathlon
Gold,4,Poland,2000,Athletics
Gold,3,Germany,1936,Canoeing
Bronze,1,Norway,1984,Cycling
Silver,1,Russia,1976,Modern Pentathlon
Gold,2,USA,2000,Sailing
Silver,1,Romania,1988,Swimming
Gold,1,France,2010,Nordic Combined
Silver,1,Malaysia,2008,Badminton
Gold,7,USA,1948,Sailing
Silver,1,Czech Republic,1976,Wrestling
Gold,1,UK,2004,Equestrianism
Gold,1,Canada,1992,Alpine Skiing
Silver,1,Finland,1960,Shooting
Gold,1,Australia,1984,Weightlifting
Silver,1,South Africa,1912,Tennis
Bronze,4,Hungary,1968,Athletics
Bronze,1,Switzerland,1964,Rowing
Gold,1,South Africa,1912,Cycling
Bronze,1,USA,1928,Figure Skating
Silver,1,Germany,2012,Swimming
Silver,3,USA,2010,Alpine Skiing
Gold,1,Finland,1968,Weightlifting
Gold,1,Germany,1988,Alpine Skiing
Gold,1,Uganda,2012,Athletics
Gold,1,Kenya,1984,Athletics
Silver,1,Ukraine,2008,Weightlifting
Gold,1,Poland,2010,Cross Country Skiing
Bronze,1,Poland,1924,Equestrianism
Gold,5,Germany,1972,Equestrianism
Bronze,3,Russia,1988,Wrestling
Silver,3,Japan,1920,Tennis
Bronze,1,Israel,2000,Canoeing
Gold,2,Kenya,2000,Athletics
Silver,6,Finland,2014,Cross Country Skiing
Silver,1,China,2004,Judo
Bronze,2,Italy,1956,Fencing
Bronze,3,Finland,2012,Sailing
Silver,1,South Korea,2004,Gymnastics
Silver,1,South Korea,1992,Speed Skating
Bronze,1,Kenya,1988,Athletics
Gold,2,Russia,1968,Shooting
Silver,3,USA,1960,Swimming
Silver,2,Norway,1968,Sailing
Bronze,1,Romania,1988,Swimming
Bronze,1,Italy,1960,Weightlifting
Silver,1,Japan,1984,Speed Skating
Silver,1,Slovakia,1996,Canoeing
Bronze,1,Russia,1994,Freestyle Skiing
Bronze,1,Taiwan,2000,Weightlifting
Gold,2,Sweden,1936,Cross Country Skiing
Silver,1,South Korea,2000,Gymnastics
Gold,1,Sweden,1928,Athletics
Silver,1,Canada,2014,Snowboarding
Silver,2,Turkey,1960,Wrestling
Silver,1,Austria,2010,Snowboarding
Bronze,2,Poland,1972,Athletics
Bronze,2,Uzbekistan,2004,Boxing
Silver,1,Kazakhstan,2010,Biathlon
Gold,1,North Korea,1996,Wrestling
Gold,2,Germany,1912,Tennis
Gold,1,USA,2000,Taekwondo
Bronze,1,UK,1908,Jeu De Paume
Silver,1,Hungary,1976,Weightlifting
Silver,1,North Korea,1996,Weightlifting
Gold,4,USA,2008,Equestrianism
Silver,1,Czech Republic,2016,Cycling
Silver,1,Austria,2014,Biathlon
Gold,5,Denmark,1920,Shooting
Silver,1,Austria,1952,Canoeing
Bronze,1,India,2016,Wrestling
Bronze,2,Germany,1980,Rowing
Gold,5,South Korea,1992,Short Track Speed Skating
Silver,2,Germany,1988,Alpine Skiing
Gold,1,Hungary,2000,Swimming
Bronze,2,Hungary,1948,Fencing
Silver,3,Bulgaria,1972,Weightlifting
Bronze,2,Italy,1932,Gymnastics
Silver,1,South Korea,2004,Archery
Silver,5,China,2004,Swimming
Gold,5,China,1984,Gymnastics
Gold,1,Portugal,1984,Athletics
Bronze,2,Hungary,2016,Swimming
Silver,3,Georgia,2012,Wrestling
Gold,1,South Korea,1992,Judo
Silver,1,Hungary,1968,Athletics
Silver,1,Serbia,2012,Shooting
Bronze,1,Turkey,1964,Wrestling
Bronze,1,South Korea,1994,Short Track Speed Skating
Bronze,1,Thailand,2016,Weightlifting
Bronze,1,USA,1984,Judo
Bronze,1,Canada,1956,Diving
Silver,1,South Korea,2016,Shooting
Bronze,1,Serbia,1980,Judo
Silver,1,Slovenia,2012,Athletics
Silver,1,Cuba,1992,Weightlifting
Silver,1,Canada,1936,Athletics
Bronze,1,Poland,1936,Shooting
Bronze,1,Finland,2006,Snowboarding
Silver,1,India,2012,Wrestling
Bronze,1,Poland,1936,Athletics
Silver,4,New Zealand,1992,Equestrianism
Gold,1,Canada,1998,Speed Skating
Bronze,2,China,1992,Athletics
Gold,1,China,1984,Fencing
Silver,1,Germany,2004,Shooting
Silver,1,Mongolia,1972,Wrestling
Gold,2,North Korea,1992,Wrestling
Silver,2,South Korea,2008,Judo
Silver,1,Latvia,1992,Shooting
Silver,6,USA,1906,Athletics
Bronze,1,Finland,1960,Boxing
Gold,1,Italy,1984,Alpine Skiing
Bronze,1,Turkey,2012,Wrestling
Silver,1,UK,1928,Art Competitions
Gold,3,China,1984,Shooting
Bronze,1,Japan,2010,Speed Skating
Silver,1,Germany,1904,Wrestling
Bronze,1,Poland,2004,Sailing
Gold,4,Russia,1980,Modern Pentathlon
Gold,1,Russia,2016,Modern Pentathlon
Silver,1,Estonia,1928,Weightlifting
Silver,1,Canada,1908,Athletics
Gold,10,Russia,1980,Cycling
Silver,1,New Zealand,1996,Sailing
Gold,1,Netherlands,1968,Swimming
Silver,5,China,2002,Short Track Speed Skating
Bronze,1,UK,1980,Judo
Gold,1,Sweden,1908,Wrestling
Silver,2,Italy,1992,Alpine Skiing
Silver,1,Netherlands,1996,Sailing
Silver,1,Mexico,1992,Athletics
Bronze,1,Denmark,1928,Boxing
Silver,1,Brazil,2012,Swimming
Silver,2,Russia,1972,Shooting
Gold,2,Germany,1928,Rowing
Bronze,1,Iran,2008,Wrestling
Gold,2,France,2016,Boxing
Bronze,1,Brazil,2016,Swimming
Silver,1,UK,1996,Swimming
Gold,2,Canada,2002,Figure Skating
Silver,2,Slovenia,2010,Alpine Skiing
Silver,1,France,2008,Athletics
Silver,2,Greece,2008,Rowing
Bronze,3,Russia,2004,Wrestling
Gold,2,Germany,2010,Biathlon
Bronze,1,Finland,1984,Boxing
Bronze,1,Austria,2008,Canoeing
Gold,1,UK,2008,Athletics
Bronze,2,Belarus,2008,Athletics
Bronze,1,Japan,1996,Wrestling
Bronze,2,Jamaica,1984,Athletics
Bronze,1,Tunisia,2016,Taekwondo
Silver,1,Spain,1996,Judo
Silver,4,Croatia,2012,Rowing
Gold,3,Australia,1968,Swimming
Gold,1,UK,1988,Swimming
Silver,1,USA,1992,Judo
Gold,1,Armenia,1996,Wrestling
Silver,1,Japan,1968,Weightlifting
Silver,1,Sweden,2006,Biathlon
Bronze,2,Poland,1936,Art Competitions
Gold,1,South Africa,1912,Athletics
Gold,2,UK,1956,Boxing
Bronze,1,South Africa,1960,Boxing
Silver,1,Finland,1964,Speed Skating
Bronze,1,Romania,2012,Weightlifting
Bronze,1,Italy,1996,Swimming
Bronze,2,Spain,1984,Canoeing
Bronze,2,Romania,2000,Athletics
Gold,1,Australia,1992,Swimming
Silver,2,Jamaica,1948,Athletics
Bronze,4,Italy,1948,Athletics
Gold,1,Hungary,2000,Fencing
Silver,2,China,2010,Figure Skating
Silver,1,Italy,1992,Fencing
Gold,1,Greece,1992,Athletics
Silver,1,Thailand,2004,Boxing
Silver,2,Switzerland,2004,Cycling
Gold,2,Germany,1988,Boxing
Bronze,1,Romania,1976,Athletics
Gold,3,Russia,1980,Shooting
Bronze,1,New Zealand,1992,Sailing
Silver,1,Ireland,2012,Boxing
Silver,1,Denmark,1988,Swimming
Silver,1,Mongolia,2012,Boxing
Bronze,2,Japan,1952,Gymnastics
Silver,1,France,2012,Athletics
Bronze,2,USA,2010,Bobsleigh
Silver,1,Germany,1906,Athletics
Bronze,1,Japan,2008,Cycling
Gold,1,Austria,1994,Speed Skating
Bronze,1,Czech Republic,1998,Cross Country Skiing
Silver,1,Jamaica,2004,Athletics
Gold,4,Russia,1996,Swimming
Gold,1,Germany,1928,Fencing
Gold,2,Germany,1976,Alpine Skiing
Silver,1,South Africa,2008,Athletics
Gold,1,Algeria,1996,Athletics
Gold,4,Germany,1900,Sailing
Silver,2,Kazakhstan,2008,Weightlifting
Bronze,5,Russia,1956,Swimming
Gold,1,Sweden,1964,Speed Skating
Bronze,2,Sweden,2010,Cross Country Skiing
Silver,1,Portugal,1976,Shooting
Silver,1,Iran,1988,Wrestling
Silver,1,Germany,1968,Shooting
Gold,1,Switzerland,1936,Gymnastics
Gold,2,Japan,1984,Wrestling
Bronze,1,Norway,2006,Nordic Combined
Bronze,1,Cameroon,1984,Boxing
Silver,1,South Korea,1972,Judo
Silver,1,Serbia,1960,Wrestling
Silver,1,Romania,1984,Wrestling
Bronze,1,France,1928,Athletics
Gold,3,Switzerland,1972,Alpine Skiing
Silver,1,Belgium,1956,Sailing
Silver,1,Slovakia,2000,Canoeing
Bronze,1,Norway,1924,Shooting
Bronze,1,Russia,1992,Boxing
Gold,1,Italy,2008,Swimming
Gold,1,Tunisia,2012,Swimming
Silver,1,South Korea,2008,Fencing
Gold,1,Czech Republic,2006,Cross Country Skiing
Bronze,3,Japan,1960,Gymnastics
Silver,2,USA,1904,Weightlifting
Bronze,1,USA,2016,Sailing
Bronze,1,Egypt,2008,Judo
Gold,1,Azerbaijan,2008,Judo
Gold,1,Russia,2016,Gymnastics
Bronze,1,Sweden,1952,Wrestling
Bronze,1,Czech Republic,1996,Tennis
Silver,1,Austria,1948,Figure Skating
Silver,1,Norway,2008,Swimming
Silver,2,Serbia,1980,Rowing
Bronze,1,UK,1960,Weightlifting
Bronze,1,USA,1984,Wrestling
Silver,1,Netherlands,1936,Swimming
Silver,1,Ireland,1992,Boxing
Bronze,1,Bulgaria,1952,Boxing
Gold,1,Italy,1988,Boxing
Silver,2,Romania,1968,Athletics
Bronze,2,USA,1996,Swimming
Silver,2,Norway,1948,Canoeing
Gold,1,Italy,1964,Gymnastics
Bronze,1,Zambia,1984,Boxing
Gold,2,Hungary,1968,Athletics
Silver,2,USA,1932,Wrestling
Silver,1,Australia,2008,Cycling
Gold,3,Turkey,2004,Weightlifting
Silver,1,Russia,1980,Cycling
Bronze,1,Ireland,1964,Boxing
Silver,2,Russia,1952,Boxing
Silver,2,Greece,2000,Weightlifting
Bronze,1,Russia,1964,Modern Pentathlon
Bronze,4,Czech Republic,1924,Gymnastics
Bronze,1,Germany,1928,Equestrianism
Silver,2,South Korea,1988,Archery
Silver,1,USA,1952,Speed Skating
Silver,2,Australia,2008,Athletics
Silver,1,Poland,1988,Fencing
Gold,2,France,2002,Alpine Skiing
Gold,2,France,1948,Athletics
Bronze,1,Belgium,1988,Shooting
Gold,3,Sweden,1964,Canoeing
Silver,4,Italy,1988,Modern Pentathlon
Gold,2,USA,1976,Speed Skating
Gold,1,Ireland,1928,Athletics
Silver,1,Sweden,2002,Alpine Skiing
Gold,1,France,1992,Athletics
Bronze,2,Denmark,2004,Table Tennis
Gold,1,USA,1992,Shooting
Bronze,1,Switzerland,2000,Triathlon
Silver,4,Finland,1920,Athletics
Gold,1,UK,1972,Athletics
Silver,2,USA,2002,Alpine Skiing
Silver,1,Armenia,1996,Wrestling
Silver,1,France,2016,Equestrianism
Bronze,1,Finland,1968,Boxing
Gold,1,Sweden,1948,Art Competitions
Silver,1,USA,1984,Archery
Bronze,1,Mexico,1988,Diving
Gold,1,Brazil,2012,Judo
Silver,2,Russia,1988,Weightlifting
Gold,1,Bahamas,2016,Athletics
Bronze,2,Switzerland,1948,Alpine Skiing
Bronze,2,UK,1988,Athletics
Bronze,1,Finland,1964,Speed Skating
Gold,1,Greece,1980,Wrestling
Bronze,1,Italy,1964,Gymnastics
Gold,1,France,2004,Sailing
Bronze,2,Uzbekistan,2000,Boxing
Bronze,2,Norway,1998,Cross Country Skiing
Bronze,1,Australia,1984,Athletics
Silver,1,UK,2012,Modern Pentathlon
Silver,1,Austria,1994,Speed Skating
Bronze,3,Germany,1994,Speed Skating
Bronze,3,USA,1988,Figure Skating
Silver,2,Spain,2008,Tennis
Bronze,1,Russia,2012,Judo
Bronze,2,Brazil,2008,Sailing
Bronze,1,Switzerland,1972,Alpine Skiing
Silver,4,Germany,1900,Sailing
Silver,1,USA,1924,Wrestling
Silver,3,Germany,1998,Speed Skating
Bronze,3,Sweden,2006,Alpine Skiing
Gold,1,Serbia,1972,Boxing
Bronze,1,Italy,2012,Gymnastics
Bronze,1,Iran,1956,Weightlifting
